Korean,English,
반갑습니다 #@소속# #@이름#입니다,"Nice to meet you, I am #@Affiliation# #@Name#",2
안녕하세요 궁금한 게 있어서 연락드립니다,"Hello, I'm contacting you because I have a question.",2
네 무엇을 도와드릴까요,"Yes, how may I help you?",2
부패가 정확히 무엇인가요,What exactly is corruption?,2
네 문의하신 내용에 답변을 드리겠습니다,"Yes, I will answer your question.",2
부패와 식중독은 모두 미생물 작용에 의한 것입니다,Both spoilage and food poisoning are caused by microbial activity.,2
세균이 증식해서 식품 원래의 색 맛 향 등의 손상을 받는 것입니다,"Bacteria multiply and damage the original color, taste, and flavor of food.",2
그래서 먹을 수 없게 되는 현상입니다,So this is a phenomenon where you can't eat it.,2
그러면 식중독과 무슨 차이가 있죠,Then what's the difference with food poisoning?,2
식중독은 식품위생상 문제가 되는 특정 병원미생물이 독소를 생산합니다,Food poisoning is a problem caused by the production of toxins by specific pathogenic microorganisms that pose a problem in food hygiene.,2
이것을 먹은 사람에게 그 미생믈 특유의 증상이 나타나는 것입니다,People who eat this will experience symptoms specific to that microorganism.,2
네 감사합니다 많은 도움이 됐습니다,"Yes, thank you. It helped me a lot.",2
감사합니다 #@소속# #@이름#이었습니다,Thank you #@Affiliation# #@Name#,2
반갑습니다 #@소속# #@이름#입니다,"Nice to meet you, I am #@Affiliation# #@Name#",2
안녕하세요 궁금한 게 있어서 연락드립니다,"Hello, I'm contacting you because I have a question.",2
네 무엇을 도와드릴까요,"Yes, how may I help you?",2
자동차 레몬법이 무엇인가요,What is the Automobile Lemon Law?,2
네 문의하신 내용에 답변을 드리겠습니다,"Yes, I will answer your question.",2
자동차 구매 시 결함 발견과 반복적인 결함이 발생할 경우가 있습니다,"When purchasing a car, there are cases where defects are found and recurring defects occur.",2
이 경우 자동차 교환이나 환불을 받을 수 있는 법 규정이 레몬법이라고 부릅니다,"In this case, the legal provision that allows you to exchange or refund your car is called the Lemon Law.",2
법은 미국에서 시작돼 이천십 구 년 일 월부터 한국에서 시작됐습니다,The law began in the United States and began in Korea in January 2019.,2
한국에서는 왜 도입한 건가요,Why was it introduced in Korea?,2
이천 십 팔 년 당시 #@소속#차량 등에서 화재 사고가 잇따랐습니다,"In 2018, there were a series of fire accidents in #@affiliated vehicles.",2
이에 대한 도입의 필요성이 제기되었습니다,The need for its introduction has been raised,2
그 결과 이천 십 구 년 일 월부터 한국형 레몬법이 시행되었습니다,"As a result, the Korean Lemon Law was implemented from January 2019.",2
네 감사합니다 많은 도움이 됐습니다,"Yes, thank you. It helped me a lot.",2
감사합니다 #@소속# #@이름#이었습니다,Thank you #@Affiliation# #@Name#,2
안녕하십니까 #@소속#입니다 무엇을 도와드릴까요,"Hello, this is #@affiliation#. How may I help you?",2
수고하십니다 저희 딸아이 중학교가 멀리 배정이 되어서요,Thank you for your hard work. My daughter's middle school is far away.,2
배정 문제로 연락 주셨군요 선생님,"You contacted me about the assignment problem, sir.",2
그렇지요 저희는 위장 전입을 한 것도 아니고요,"Yes, we didn't even do a fake transfer.",2
자가 구입으로 이사를 했음에도 불구하고요,Even though I moved in by purchasing my own home,2
바로 옆에 위치한 중학교를 두고 먼 중학교에 합격했네요,I got accepted to a middle school that was far away from the one right next door.,2
그러셨군요 정말 속상하셨겠어요,I see. You must be really upset.,2
어른 걸음으로 이십 분 정도 거리구요 너무 으슥합니다,It's about a twenty minute walk at an adult's pace and it's very quiet.,2
어른도 을씨년스러운 골목길을 걸어야해요,Even adults have to walk down creepy alleys,2
정말 죄송합니다만 선생님 저희는 #@소속#입니다,"I'm really sorry, but teacher, we are #@affiliation#",2
그 부분 민원 사항은 #@소속#께서 더 잘 아실 겁니다,#@Affiliation# will know better about that part of the complaint.,2
비슷한 것 아닌가요 다른가요,Isn't it similar or different?,2
각각 담당하는 부서가 다른 것일 뿐입니다 연결해드릴까요,The departments in charge of each are different. Shall I connect you?,2
지금 그 부서로 연결해주세요,Please connect me to that department now.,2
알겠습니다 끊지 말고 대기해주세요 #@소속#였습니다,"Okay, please don't hang up and wait. This was #@affiliation#",2
여러분을 섬기겠습니다 #@소속#입니다,I will serve you all #@Affiliation#,2
안녕하세요 제가 이번에 처음 공직에 서서요,"Hello, this is my first time in public office.",2
오늘도 수고하십니다 어떤 문의신지요,Thank you for your hard work today. What kind of inquiry do you have?,2
성과평가 라는 게 있는지 이번에 알게 되었어요,I just found out that there is something called performance evaluation.,2
그러시군요 성과평가 준비하셔야지요,I see. You need to prepare for the performance evaluation.,2
성과평가 대상 기간과 사항이랑 서류가 어떻게 되나요,"What are the performance evaluation period, items, and documents?",2
제가 대략적으로는 아는데 문제가요,"I have a general idea, but there is a problem.",2
