Korean,English,
너는 치킨 좋아해?,Do you like chicken?,1
어디 브랜드 좋아해?,What brand do you like?,1
나는 가리는 거 없이 다 잘 먹는데 교촌이 좋아!,"I eat everything without being picky, but I like Kyochon!",1
교촌은 역시 허니지~,Kyochon is definitely Honey~,1
맞지?,Right?,1
맞아,that's right,1
허니콤보만 먹어,Just eat honey combo,1
너무 맛있더라,It was so delicious,1
아 오랜만에 그거랑 엽떡이랑 같이 먹고 싶다!,"Ah, it's been a while since I've eaten that with rice cakes!",1
와 인정,"Wow, I admit it",1
진짜 그렇게 먹으면 맛있는데 ㅠ,It's really delicious if you eat it like that ㅠ,1
너는 룸메랑 둘이 사니까 허니콤보랑 엽떡 2인 시켜먹으면 딱이것다!,"Since you live with a roommate, ordering a honey combo and two-person rice cakes is perfect!",1
그러게,I know,1
오늘 시켜 먹어볼까?,Should I order it today?,1
키키 완전 좋지,Kiki is totally great,1
나는 지금 아이스크림 시켰어!,I just ordered ice cream!,1
아이스크림?,ice cream?,1
오늘 날씨에 춥지 않겠어,It won't be cold today,1
괜찮아,are you okay,1
방이 따뜻해서 지금 더워!,The room is warm so it's hot now!,1
그럼 딱이지!,That's perfect!,1
요즘엔 아이스크림 배달 돼서 좋다 ㅎ,It's nice that ice cream is delivered these days.,1
맞아,that's right,1
"근데 배달료가 좀 충격적이야,","But the delivery fee is a bit shocking,",1
와 그거 인정 ㅠㅠ,"Wow, I admit it ㅠㅠ",1
배달비가 왜 이렇게 비싼 거야 ㅠㅠ,Why is the delivery fee so expensive?,1
"맞아,","that's right,",1
"어디는 7천원도 달라더라,","In some places, it costs 7,000 won.",1
7000원?,7000 won?,1
너무 비싼데 그거는...,That's too expensive...,1
너네는 청소 어떻게 해?,How do you guys clean?,1
우리는 그냥 보이는 사람이 하는 거 같아,I think we're just people who are visible,1
정해진 건 없어,Nothing is set in stone,1
너네는 성격이 다 둥글둥글하구나?,You all have such well-rounded personalities?,1
맞아,that's right,1
약간 대충 사는 스타일? 하하,A bit of a rough living style? Haha,1
키키 내 친구는 청소 때문에 친구랑 손절했대!,Kiki My friend broke up with her friend because of cleaning!,1
어? 그 정도로 화가 많이 난 거야?,Huh? Are you that angry?,1
어 치우는 사람 따로 어지르는 사람 따로 있으니까!,There are people who clean up and people who make a mess!,1
그건 그렇긴 해 ㅠㅠ,That's true ㅠㅠ,1
그거 안 맞으면 같이 못살어 ㅠㅠ,"If that doesn't work out, we can't live together ㅠㅠ",1
맞아,that's right,1
친구 입장에서는 얘가 나를 무서하나 이런 생각이 들 정도였대!,"From my friend's perspective, I thought to myself, &quot;Is this guy scared of me?&quot;",1
그렇게 느낄 수 도 있겠다 ㅠ,I guess you could feel that way ㅠ,1
힘들었겠네,It must have been hard,1
그런데 방 계약은 1년 단위로 하잖아 ㅜ,But the room contract is for one year.,1
어 맞아,Oh right,1
그럼 어떻게 했대?,Then what did you do?,1
얘가 룸메 구한다는 글을 올려서 룸메 구해서 친구 내보냈대 키키,"Kiki said that he posted that he was looking for a roommate, so he found a roommate and kicked out his friend.",1
아 엄청 생각 좋은데?,"Oh, that's a really good idea?",1
선수쳐버렸잖아!,I beat the player!,1
키키 그러니까,"Kiki, so",1
그 새로운 룸메랑은 청소 당번을 정했대!,That new roommate has decided who will do the cleaning duty!,1
다행이다,thank god,1
이번에는 잘 지냈으면 좋겠네,I hope you do well this time,1
너네집은 알바하는 곳이랑 많이 멀어?,Is your house very far from your part-time job?,1
가깝진 않은 거 같아,I don't think it's close,1
한 20분에서 30분?,About 20 to 30 minutes?,1
걸어서 20분 아니면 차 타고 20분?,20 minutes on foot or 20 minutes by car?,1
걸어서는 못 가고 버스 타고 그 정도 걸려,"I can't go on foot, so I'll take the bus and it'll take about that long.",1
그렇구나,I see,1
버스비도 만만치 않겠어!,Bus fare won't be cheap either!,1
맞아,that's right,1
한달에 한 4-5만원 나와 ㅠ,I get about 40-50 thousand won a month ㅠ,1
홀 ㅜㅜ 버스비가 지금 얼마지?,"Oh my gosh, how much is the bus fare now?",1
지금 아마 1500 정도 했나,I think it's around 1500 now,1
"와 엄청 비싸졌다, 라떼는 1100원이었는데!","Wow, it got so expensive, a latte used to be 1100 won!",1
맞아,that's right,1
인정,admit,1
나도 어렸을 땐 그 정도 했었던 거 같아,I think I did that when I was young too,1
키키 너 어렸을 때도 버스카드가 있었어?,"Kiki, did you have a bus card when you were young?",1
어 있었나?,How have you been?,1
